产业,standard_chain,stage,node_id,node_name,match_status,park_count
仓储物流,基础设施与城市建设产业链,下游,node-009,城市运营、公用事业与物业服务,已匹配（产业分类+园区名称）,4
仓储物流,基础设施与城市建设产业链,下游,node-009,城市运营、公用事业与物业服务,已匹配（产业分类）,275
仓储物流,数据要素与数字经济产业链,下游,node-003,数字经济场景应用与内容创意,已匹配（产业分类+园区名称）,4
仓储物流,数据要素与数字经济产业链,下游,node-003,数字经济场景应用与内容创意,已匹配（产业分类）,275
仓储物流,新一代信息基础设施产业链,下游,node-030,云网算服务与行业数字化支撑,已匹配（产业分类+园区名称）,4
仓储物流,新一代信息基础设施产业链,下游,node-030,云网算服务与行业数字化支撑,已匹配（产业分类）,275
仓储物流,新材料产业链,上游,node-034,矿物、化工与基础材料原料,已匹配（产业分类+园区名称）,1
仓储物流,新材料产业链,下游,node-036,材料应用与高端制造配套,已匹配（产业分类+园区名称）,1
仓储物流,新材料产业链,中游,node-035,先进材料制备与加工,已匹配（产业分类+园区名称）,1
仓储物流,汽车与智能网联汽车产业链,下游,node-024,出行服务、后市场与自动驾驶应用,已匹配（产业分类+园区名称）,2
仓储物流,汽车与智能网联汽车产业链,中游,node-023,整车制造与智能网联系统集成,已匹配（产业分类+园区名称）,2
仓储物流,绿色环保与资源循环产业链,上游,node-031,环保装备、监测与资源回收基础,已匹配（产业分类+园区名称）,1
仓储物流,绿色环保与资源循环产业链,下游,node-033,园区、市政与企业绿色运营,已匹配（产业分类+园区名称）,1
仓储物流,绿色环保与资源循环产业链,中游,node-032,污染治理与节能降碳服务,已匹配（产业分类+园区名称）,1
其他,,,,,待人工研判,91551
其他,人工智能产业链,上游,node-043,数据、算力与模型基础,已匹配（园区名称关键词）,14
其他,人工智能产业链,下游,node-045,行业智能化应用与AI服务,已匹配（园区名称关键词）,14
其他,人工智能产业链,中游,node-044,智能感知、语音视觉与平台工具,已匹配（园区名称关键词）,14
其他,医药生物与医疗健康产业链,上游,node-010,药物研发、诊断试剂与核心材料,已匹配（园区名称关键词）,6
其他,医药生物与医疗健康产业链,下游,node-012,医疗服务、临床应用与健康管理,已匹配（园区名称关键词）,68
其他,医药生物与医疗健康产业链,中游,node-011,药械生产、医疗装备与数字平台,已匹配（园区名称关键词）,70
其他,半导体与集成电路产业链,下游,node-048,电子终端、汽车与工业芯片应用,已匹配（园区名称关键词）,19
其他,半导体与集成电路产业链,中游,node-047,芯片设计、制造、封测与集成电路,已匹配（园区名称关键词）,19
其他,数据要素与数字经济产业链,上游,node-001,数据资源采集与基础设施,已匹配（园区名称关键词）,60
其他,数据要素与数字经济产业链,下游,node-003,数字经济场景应用与内容创意,已匹配（园区名称关键词）,6
其他,数据要素与数字经济产业链,中游,node-002,数据治理、流通与服务,已匹配（园区名称关键词）,60
其他,新一代信息基础设施产业链,上游,node-028,通信与算力硬件设备,已匹配（园区名称关键词）,20
其他,新一代信息基础设施产业链,下游,node-030,云网算服务与行业数字化支撑,已匹配（园区名称关键词）,46
其他,新一代信息基础设施产业链,中游,node-029,5G网络、数据中心与云边平台,已匹配（园区名称关键词）,46
其他,新型显示与虚拟现实产业链,上游,node-052,显示材料、光学器件与核心部件,已匹配（园区名称关键词）,7
其他,新型显示与虚拟现实产业链,下游,node-054,沉浸式内容、行业应用与消费场景,已匹配（园区名称关键词）,5
其他,新型显示与虚拟现实产业链,中游,node-053,显示面板、终端与VR设备制造,已匹配（园区名称关键词）,7
其他,新材料产业链,上游,node-034,矿物、化工与基础材料原料,已匹配（园区名称关键词）,248
其他,新材料产业链,下游,node-036,材料应用与高端制造配套,已匹配（园区名称关键词）,248
其他,新材料产业链,中游,node-035,先进材料制备与加工,已匹配（园区名称关键词）,248
其他,新能源与电力装备产业链,上游,node-013,新能源材料、电芯与发电设备,已匹配（园区名称关键词）,124
其他,新能源与电力装备产业链,下游,node-015,电力消纳、能源服务与场景应用,已匹配（园区名称关键词）,124
其他,新能源与电力装备产业链,中游,node-014,发电、储能与输配电装备,已匹配（园区名称关键词）,124
其他,智能物联与消费电子产业链,上游,node-016,传感器、芯片模组与基础器件,已匹配（园区名称关键词）,76
其他,智能物联与消费电子产业链,下游,node-018,智慧家庭、行业物联与消费场景,已匹配（园区名称关键词）,76
其他,智能物联与消费电子产业链,中游,node-017,智能终端、家电与物联平台,已匹配（园区名称关键词）,83
其他,机器人产业链,上游,node-040,核心零部件、控制器与传感系统,已匹配（园区名称关键词）,92
其他,机器人产业链,下游,node-042,工业、服务与特种场景应用,已匹配（园区名称关键词）,92
其他,机器人产业链,中游,node-041,机器人本体制造与系统集成,已匹配（园区名称关键词）,92
其他,汽车与智能网联汽车产业链,上游,node-022,汽车材料、零部件与电子电气,已匹配（园区名称关键词）,104
其他,汽车与智能网联汽车产业链,下游,node-024,出行服务、后市场与自动驾驶应用,已匹配（园区名称关键词）,615
其他,汽车与智能网联汽车产业链,中游,node-023,整车制造与智能网联系统集成,已匹配（园区名称关键词）,615
其他,石油化工产业链,上游,node-019,油气资源与基础化工原料,已匹配（园区名称关键词）,3
其他,石油化工产业链,下游,node-021,化工制品与终端应用,已匹配（园区名称关键词）,3
其他,石油化工产业链,中游,node-020,炼化加工与化工材料制造,已匹配（园区名称关键词）,3
其他,纺织产业链,上游,node-049,纤维原料与纺织材料,已匹配（园区名称关键词）,241
其他,纺织产业链,下游,node-051,服装家纺、品牌渠道与终端消费,已匹配（园区名称关键词）,241
其他,纺织产业链,中游,node-050,纺纱织造、印染与面料制造,已匹配（园区名称关键词）,241
其他,绿色环保与资源循环产业链,上游,node-031,环保装备、监测与资源回收基础,已匹配（园区名称关键词）,385
其他,绿色环保与资源循环产业链,下游,node-033,园区、市政与企业绿色运营,已匹配（园区名称关键词）,385
其他,绿色环保与资源循环产业链,中游,node-032,污染治理与节能降碳服务,已匹配（园区名称关键词）,385
其他,软件与数字安全产业链,上游,node-055,基础软件、密码与可信技术,已匹配（园区名称关键词）,3
其他,软件与数字安全产业链,下游,node-057,政企数字化、可信流通与安全运营,已匹配（园区名称关键词）,3
其他,软件与数字安全产业链,中游,node-056,应用软件、区块链平台与安全产品,已匹配（园区名称关键词）,3
其他,高端装备与智能制造产业链,上游,node-004,关键基础件与工业母机,已匹配（园区名称关键词）,7
其他,高端装备与智能制造产业链,下游,node-006,行业智能制造应用与运维,已匹配（园区名称关键词）,12
其他,高端装备与智能制造产业链,中游,node-005,高端装备制造与激光加工,已匹配（园区名称关键词）,66
农林牧渔,半导体与集成电路产业链,下游,node-048,电子终端、汽车与工业芯片应用,已匹配（产业分类+园区名称）,1
农林牧渔,半导体与集成电路产业链,中游,node-047,芯片设计、制造、封测与集成电路,已匹配（产业分类+园区名称）,1
农林牧渔,新材料产业链,上游,node-034,矿物、化工与基础材料原料,已匹配（产业分类+园区名称）,1
农林牧渔,新材料产业链,下游,node-036,材料应用与高端制造配套,已匹配（产业分类+园区名称）,1
农林牧渔,新材料产业链,中游,node-035,先进材料制备与加工,已匹配（产业分类+园区名称）,1
农林牧渔,绿色环保与资源循环产业链,上游,node-031,环保装备、监测与资源回收基础,已匹配（产业分类+园区名称）,1
农林牧渔,绿色环保与资源循环产业链,下游,node-033,园区、市政与企业绿色运营,已匹配（产业分类+园区名称）,1
农林牧渔,绿色环保与资源循环产业链,中游,node-032,污染治理与节能降碳服务,已匹配（产业分类+园区名称）,1
农林牧渔,食品饮料产业链,上游,node-025,农产品原料与食品配料,已匹配（产业分类+园区名称）,2
农林牧渔,食品饮料产业链,上游,node-025,农产品原料与食品配料,已匹配（产业分类）,749
化工日化,新材料产业链,上游,node-034,矿物、化工与基础材料原料,已匹配（产业分类+园区名称）,14
化工日化,新材料产业链,上游,node-034,矿物、化工与基础材料原料,已匹配（产业分类）,539
化工日化,新材料产业链,下游,node-036,材料应用与高端制造配套,已匹配（产业分类+园区名称）,14
化工日化,新材料产业链,下游,node-036,材料应用与高端制造配套,已匹配（产业分类）,539
化工日化,新材料产业链,中游,node-035,先进材料制备与加工,已匹配（产业分类+园区名称）,14
化工日化,新材料产业链,中游,node-035,先进材料制备与加工,已匹配（产业分类）,539
化工日化,汽车与智能网联汽车产业链,下游,node-024,出行服务、后市场与自动驾驶应用,已匹配（产业分类+园区名称）,3
化工日化,汽车与智能网联汽车产业链,中游,node-023,整车制造与智能网联系统集成,已匹配（产业分类+园区名称）,3
化工日化,石油化工产业链,上游,node-019,油气资源与基础化工原料,已匹配（产业分类+园区名称）,14
化工日化,石油化工产业链,上游,node-019,油气资源与基础化工原料,已匹配（产业分类）,539
化工日化,石油化工产业链,下游,node-021,化工制品与终端应用,已匹配（产业分类+园区名称）,14
化工日化,石油化工产业链,下游,node-021,化工制品与终端应用,已匹配（产业分类）,539
化工日化,石油化工产业链,中游,node-020,炼化加工与化工材料制造,已匹配（产业分类+园区名称）,14
化工日化,石油化工产业链,中游,node-020,炼化加工与化工材料制造,已匹配（产业分类）,539
医疗医药,医药生物与医疗健康产业链,上游,node-010,药物研发、诊断试剂与核心材料,已匹配（产业分类+园区名称）,4
医疗医药,医药生物与医疗健康产业链,上游,node-010,药物研发、诊断试剂与核心材料,已匹配（产业分类）,183
医疗医药,医药生物与医疗健康产业链,下游,node-012,医疗服务、临床应用与健康管理,已匹配（产业分类+园区名称）,4
医疗医药,医药生物与医疗健康产业链,下游,node-012,医疗服务、临床应用与健康管理,已匹配（产业分类）,183
医疗医药,医药生物与医疗健康产业链,中游,node-011,药械生产、医疗装备与数字平台,已匹配（产业分类+园区名称）,4
医疗医药,医药生物与医疗健康产业链,中游,node-011,药械生产、医疗装备与数字平台,已匹配（产业分类）,183
医疗医药,新材料产业链,上游,node-034,矿物、化工与基础材料原料,已匹配（产业分类+园区名称）,1
医疗医药,新材料产业链,下游,node-036,材料应用与高端制造配套,已匹配（产业分类+园区名称）,1
医疗医药,新材料产业链,中游,node-035,先进材料制备与加工,已匹配（产业分类+园区名称）,1
医疗医药,绿色环保与资源循环产业链,上游,node-031,环保装备、监测与资源回收基础,已匹配（产业分类+园区名称）,1
医疗医药,绿色环保与资源循环产业链,下游,node-033,园区、市政与企业绿色运营,已匹配（产业分类+园区名称）,1
医疗医药,绿色环保与资源循环产业链,中游,node-032,污染治理与节能降碳服务,已匹配（产业分类+园区名称）,1
国防科技产业,空天装备与低空经济产业链,上游,node-037,航空航天材料、零部件与核心系统,已匹配（产业分类）,7
国防科技产业,空天装备与低空经济产业链,下游,node-039,低空运营、空域服务与场景应用,已匹配（产业分类）,7
国防科技产业,空天装备与低空经济产业链,中游,node-038,空天装备制造与低空飞行器,已匹配（产业分类）,7
国防科技产业,高端装备与智能制造产业链,上游,node-004,关键基础件与工业母机,已匹配（产业分类）,7
