node_id,standard_chain,stage,node_name,node_description,mapped_standard_segments,mapped_original_folders,source_company_count_sum,mapping_type,original_fields_available,original_node_samples
node-001,数据要素与数字经济产业链,上游,数据资源采集与基础设施,覆盖数据源接入、数据采集、存储与基础算力环境。,大数据、数据要素,大数据产业链企查查；数据要素产业链企查查,423975,原始方向+标准链推导,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,大数据产业链企查查:-、RFID读卡器、中间件软件、云存储服务、云资源管理平台、交通大数据、企业大数据、企业级物联网平台、传感器、农业大数据；数据要素产业链企查查:AI大模型、CPU、DPU、FPGA、GPU、个人隐私保护、中间件软件、互联网数据中心(IDC)、交通大数据、企业大数据
node-002,数据要素与数字经济产业链,中游,数据治理、流通与服务,覆盖数据清洗、治理、标注、交易流通、数据服务供给。,大数据、数据要素、数据服务,大数据产业链企查查；数据要素产业链企查查；数据服务,453926,原始方向+标准链推导,"-、13548786168、140万人民币、17775782939、2000万人民币、2018-02-02、2018-02-02 至 2068-02-01、2022-12-30、2023、25、430194000053935、91430100MA4PD37P5G、Hunan Zhongguang Huizhi Information Technology Co., Ltd、ID、MA4PD37P-5、http://www.idcode.cloud、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、信息传输、软件和信息技术服务业、八级分类、公司名称、六级分离、六级分类、其他信息技术服务业、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、存续、官网、实缴资本、小型、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、有限责任公司(自然人投资或控股)、核准日期、法定代表人、注册号、注册资本、湖南中广汇智信息技术有限公司、湖南省、电子产品、家用电器、文具用品的零售；工业自动化设备、智能化技术、五金机电产品的研发；广告制作服务、国内代理服务；监控设备、计算机辅助设备、计算机硬件、日用品、计算机软件的销售；电子商务平台的开发建设；信息系统集成服务；软件开发；贸易咨询服务；市场调研服务；展览服务；机器人开发；广告设计；企业管理战略策划；企业管理咨询服务；计算机技术开发、技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、袁跃、软件和信息技术服务业、通信地址、邮箱、长沙市、长沙经济技术开发区开元东路以北、东六线以东华润置地广场一期12幢1201（集群注册）、长沙经济技术开发区螺丝塘路1号、3号德普五和企业园5栋B座402室",大数据产业链企查查:-、RFID读卡器、中间件软件、云存储服务、云资源管理平台、交通大数据、企业大数据、企业级物联网平台、传感器、农业大数据；数据要素产业链企查查:AI大模型、CPU、DPU、FPGA、GPU、个人隐私保护、中间件软件、互联网数据中心(IDC)、交通大数据、企业大数据
node-003,数据要素与数字经济产业链,下游,数字经济场景应用与内容创意,覆盖产业数字化、数据产品、内容创意和行业应用。,数字经济、数据创意,数字经济产业链企查查；数据创意,118401,原始方向+标准链推导,ID、一级分类、七级分类、三级分类、不可用电话、二级分类、五级分类、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、公司类型、六级分类、其他电话、其他邮箱、原文件导入名称、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报地址、最新年报年份、核准日期、法定代表人、注册号、注册地址、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、融资上市、通信地址、邮箱,数字经济产业链企查查:-、5G网络、云计算服务、人工智能、人工智能算法软件、人工智能芯片、光纤网络建设服务、农业数字化、办公数字化、区块链
node-004,高端装备与智能制造产业链,上游,关键基础件与工业母机,覆盖数控机床、基础机械、关键零部件和加工能力。,数控机床、机械设备,数控机床；机械设备产业链企查查,73179,原始方向+标准链推导,"ID、一级分类、七级分类、三级分类、上市企业,科技小巨人企业,高新技术企业、不可用电话、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、公司类型、六级分类、其他电话、其他邮箱、原文件导入名称、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、宁波海天精工股份有限公司、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报地址、最新年报年份、核准日期、法定代表人、注册号、注册地址、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、融资上市、通信地址、邮箱",机械设备产业链企查查:3D打印设备及零配件、三轮车、串联机器人、五金工具、伺服控制器、供应用仪器仪表、光学仪器、内燃机、农用机械、凿岩机
node-005,高端装备与智能制造产业链,中游,高端装备制造与激光加工,覆盖高端装备整机制造、激光加工装备和智能制造装备。,高端装备制造、激光、机械设备,高端装备制造；激光；机械设备产业链企查查,284837,原始方向+标准链推导,"ID、一级分类、七级分类、三级分类、不可用电话、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、公司类型、六级分类、其他电话、其他邮箱、原文件导入名称、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、小米科技有限责任公司、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报地址、最新年报年份、核准日期、法定代表人、注册号、注册地址、注册资本、电话、登记机关、登记状态、瞪羚企业,独角兽企业,知识产权优势企业,上市企业、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、融资上市、资质、通信地址、邮箱",机械设备产业链企查查:3D打印设备及零配件、三轮车、串联机器人、五金工具、伺服控制器、供应用仪器仪表、光学仪器、内燃机、农用机械、凿岩机
node-006,高端装备与智能制造产业链,下游,行业智能制造应用与运维,覆盖装备在生产线、工厂、工程场景中的集成应用和运维服务。,高端装备制造、机械设备,高端装备制造；机械设备产业链企查查,279499,标准链推导,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、资质、通信地址、邮箱,机械设备产业链企查查:3D打印设备及零配件、三轮车、串联机器人、五金工具、伺服控制器、供应用仪器仪表、光学仪器、内燃机、农用机械、凿岩机
node-007,基础设施与城市建设产业链,上游,规划设计、建材与工程准备,覆盖基建规划、工程材料、施工装备和前期服务。,基础设施建设,基础设施建设产业链企查查,160221,标准链推导,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,基础设施建设产业链企查查:公路工程、压实机械、园林养护工程、园林工程设计、城市公交、城市轨道交通工程、太阳能发电工程、工程勘察服务、工程咨询服务、工程监理服务
node-008,基础设施与城市建设产业链,中游,基础设施建设与房地产开发,覆盖交通、市政、园区、房屋开发和工程建设实施。,基础设施建设、房地产,基础设施建设产业链企查查；房地产产业链企查查,290363,原始方向+标准链推导,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,基础设施建设产业链企查查:公路工程、压实机械、园林养护工程、园林工程设计、城市公交、城市轨道交通工程、太阳能发电工程、工程勘察服务、工程咨询服务、工程监理服务；房地产产业链企查查:产业地产开发、产业地产租赁、住宅建筑、住宅建筑装饰装修、公共建筑装饰装修、公共租赁房租赁、其他保障房开发、其他建筑材料、冰洗家电、办公建筑
node-009,基础设施与城市建设产业链,下游,城市运营、公用事业与物业服务,覆盖供水、供电、燃气、环卫、公用设施运营和房地产后服务。,公用事业、房地产,公用事业产业链企查查；房地产产业链企查查,179150,原始方向+标准链推导,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,公用事业产业链企查查:天然气工程、太阳能发电、太阳能发电工程、工业污水治理服务、工业用水、水利工程、水力发电、水电工程、液化天然气供应、火力发电；房地产产业链企查查:产业地产开发、产业地产租赁、住宅建筑、住宅建筑装饰装修、公共建筑装饰装修、公共租赁房租赁、其他保障房开发、其他建筑材料、冰洗家电、办公建筑
node-010,医药生物与医疗健康产业链,上游,药物研发、诊断试剂与核心材料,覆盖生物药、化学药、体外诊断的研发和关键原料。,医药生物、生物药品、化学药品、体外诊断,医药生物产业链企查查；生物药品产业链企查查；化学药品产业链企查查；体外诊断产业链企查查,48878,原始方向+标准链推导,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,医药生物产业链企查查:SMO服务、专科医院运营、中医器械、中成药、中药材/饮片、体外诊断设备、体外诊断试剂及耗材、化药制剂、医用决策支持软件、医用康复器械；生物药品产业链企查查:专科医院运营、中医院运营、亚单位疫苗与多肽疫苗、免疫球蛋白、其他医院运营、其他生物药品、其他疫苗、其他血液制品、减毒疫苗、凝血因子；化学药品产业链企查查:SMO服务、专科医院运营、儿科用药、免疫系统用药、医药CDMO、医药CMO、医药CRO、医药中间体、医药批发、医药电商；体外诊断产业链企查查:-、体外诊断服务、体外诊断类软件、体外诊断耗材、免疫分析设备、免疫诊断试剂、其他体外诊断设备、其他体外诊断试剂、分子生物学分析设备、分子诊断试剂
