产业字段,规则类型,关联标准产业链,关联节点数,说明
仓储物流,分类规则,基础设施与城市建设产业链；数据要素与数字经济产业链；新一代信息基础设施产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
其他,无直接分类规则,,0,仅依赖园区名称关键词；未命中则保留待人工研判；名称关键词命中时会叠加原始方向到节点的精确映射
农林牧渔,分类规则,食品饮料产业链,1,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
化工日化,分类规则,石油化工产业链；新材料产业链,6,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
医疗医药,分类规则,医药生物与医疗健康产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
国防科技产业,分类规则,空天装备与低空经济产业链；高端装备与智能制造产业链,6,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
大消费,分类规则,食品饮料产业链；纺织产业链；智能物联与消费电子产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
家电数码,分类规则,智能物联与消费电子产业链；新型显示与虚拟现实产业链,6,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
建材冶金,分类规则,基础设施与城市建设产业链；新材料产业链,5,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
房地产建筑,分类规则,基础设施与城市建设产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
文化创意,分类规则,数据要素与数字经济产业链；新型显示与虚拟现实产业链,2,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
机械设备,分类规则,高端装备与智能制造产业链；机器人产业链；半导体与集成电路产业链；新能源与电力装备产业链,7,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
汽车工业,分类规则,汽车与智能网联汽车产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
环保节能,分类规则,绿色环保与资源循环产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
电子产业,分类规则,半导体与集成电路产业链；智能物联与消费电子产业链；新一代信息基础设施产业链；新型显示与虚拟现实产业链,12,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
电子信息,分类规则,半导体与集成电路产业链；智能物联与消费电子产业链；新一代信息基础设施产业链；新型显示与虚拟现实产业链；人工智能产业链；软件与数字安全产业链,18,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
电子商务,分类规则,数据要素与数字经济产业链；软件与数字安全产业链；新一代信息基础设施产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
科技服务,分类规则,数据要素与数字经济产业链；人工智能产业链；软件与数字安全产业链；新一代信息基础设施产业链,7,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
纺织服装,分类规则,纺织产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
能源电力,分类规则,新能源与电力装备产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
航空航天,分类规则,空天装备与低空经济产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
装备制造,分类规则,高端装备与智能制造产业链；机器人产业链；新能源与电力装备产业链；空天装备与低空经济产业链,8,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
轻工业,分类规则,食品饮料产业链；纺织产业链；智能物联与消费电子产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
金融保险,分类规则,数据要素与数字经济产业链；软件与数字安全产业链,4,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
食品饮料,分类规则,食品饮料产业链,3,按宽口径将该园区分类关联到相关链的节点层；名称关键词命中时会叠加原始方向到节点的精确映射
高新技术,无直接分类规则,,0,仅依赖园区名称关键词；未命中则保留待人工研判；名称关键词命中时会叠加原始方向到节点的精确映射
