relation_id,record_id,source_row,产业园名称,原始产业,standard_chain,stage,node_id,node_name,relation_scope,confidence,chain_score,node_score,matched_name_terms,matched_intro_terms,match_reason,candidate_nodes
rel-0000001,park-000001,2,柳州高新技术产业开发区,汽车工业,汽车与智能网联汽车产业链,待细分,,,产业链级（候选节点待复核）,中,58,0,,,产业标签:原始产业标签直接对应汽车链,node-022:汽车材料、零部件与电子电气；node-023:整车制造与智能网联系统集成；node-024:出行服务、后市场与自动驾驶应用
rel-0000002,park-000002,3,小蓝经济开发区,汽车工业,汽车与智能网联汽车产业链,待细分,,,产业链级（候选节点待复核）,中,58,0,,,产业标签:原始产业标签直接对应汽车链,node-022:汽车材料、零部件与电子电气；node-023:整车制造与智能网联系统集成；node-024:出行服务、后市场与自动驾驶应用
rel-0000003,park-000003,4,聊城经济开发区,汽车工业,汽车与智能网联汽车产业链,待细分,,,产业链级（候选节点待复核）,中,58,0,,,产业标签:原始产业标签直接对应汽车链,node-022:汽车材料、零部件与电子电气；node-023:整车制造与智能网联系统集成；node-024:出行服务、后市场与自动驾驶应用
rel-0000004,park-000004,5,广州出口加工区,汽车工业,汽车与智能网联汽车产业链,待细分,,,产业链级（候选节点待复核）,中,58,0,,,产业标签:原始产业标签直接对应汽车链,node-022:汽车材料、零部件与电子电气；node-023:整车制造与智能网联系统集成；node-024:出行服务、后市场与自动驾驶应用
rel-0000005,park-000005,6,天津武清汽车产业园,汽车工业,汽车与智能网联汽车产业链,待细分,,,产业链级（候选节点待复核）,高,100,0,汽车产业,,产业标签:原始产业标签直接对应汽车链；园区名称关键词:汽车产业,node-022:汽车材料、零部件与电子电气；node-023:整车制造与智能网联系统集成；node-024:出行服务、后市场与自动驾驶应用
rel-0000006,park-000006,7,烟台高新技术产业开发区,汽车工业,汽车与智能网联汽车产业链,待细分,,,产业链级（候选节点待复核）,中,58,0,,,产业标签:原始产业标签直接对应汽车链,node-022:汽车材料、零部件与电子电气；node-023:整车制造与智能网联系统集成；node-024:出行服务、后市场与自动驾驶应用
rel-0000007,park-000007,8,临港经济区,汽车工业,汽车与智能网联汽车产业链,待细分,,,产业链级（候选节点待复核）,中,58,0,,,产业标签:原始产业标签直接对应汽车链,node-022:汽车材料、零部件与电子电气；node-023:整车制造与智能网联系统集成；node-024:出行服务、后市场与自动驾驶应用
rel-0000008,park-000008,9,青岛保税区,汽车工业,汽车与智能网联汽车产业链,待细分,,,产业链级（候选节点待复核）,中,58,0,,,产业标签:原始产业标签直接对应汽车链,node-022:汽车材料、零部件与电子电气；node-023:整车制造与智能网联系统集成；node-024:出行服务、后市场与自动驾驶应用
rel-0000009,park-000009,10,无锡出口加工区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000010,park-000009,10,无锡出口加工区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000011,park-000009,10,无锡出口加工区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000012,park-000009,10,无锡出口加工区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000013,park-000009,10,无锡出口加工区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000014,park-000010,11,富阳经济开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000015,park-000010,11,富阳经济开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000016,park-000010,11,富阳经济开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000017,park-000010,11,富阳经济开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000018,park-000010,11,富阳经济开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000019,park-000011,12,常熟经济技术开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
