original_folder,display_name_cleaned,standard_chain,standard_segment,merge_relation,merge_reason,main_company_count_original,all_company_count_original,source_file_count
5G产业链企查查,5G,新一代信息基础设施产业链,5G通信,合并,通信网络基础设施细分，去除来源词后并入云网算基础设施,34341,34341,1
IDC产业链企查查,IDC,新一代信息基础设施产业链,IDC数据中心,合并,算力与数据中心基础设施细分，并入云网算基础设施,27809,27809,1
云计算产业链企查查,云计算,新一代信息基础设施产业链,云计算,合并,云服务与算力平台细分，并入云网算基础设施,4781,4781,1
人工智能产业链企查查,人工智能,人工智能产业链,人工智能,主链,保留为标准产业链主链,22251,22251,1
人形机器人,人形机器人,机器人产业链,人形机器人,合并,机器人新形态细分方向,11012,11013,2
低空经济产业链企查查,低空经济,空天装备与低空经济产业链,低空经济,合并,低空飞行器、运营与场景应用，归入空天装备与低空经济,1574,1574,1
体外诊断产业链企查查,体外诊断,医药生物与医疗健康产业链,体外诊断,合并,医疗器械/诊断试剂细分方向,1082,1082,1
储能类,储能,新能源与电力装备产业链,储能,合并,新能源电力系统关键环节,8054,15346,2
光伏产业链企查查,光伏,新能源与电力装备产业链,光伏,合并,新能源发电方向,4097,4097,1
光伏生产设备,光伏生产设备,新能源与电力装备产业链,光伏生产设备,合并,光伏制造装备细分方向,576,576,2
光通信,光通信,新一代信息基础设施产业链,光通信,合并,通信传输基础设施细分，并入云网算基础设施,16276,16276,2
公用事业产业链企查查,公用事业,基础设施与城市建设产业链,公用事业,合并,市政公共服务与基础设施运营方向,49008,49008,1
化学药品产业链企查查,化学药品,医药生物与医疗健康产业链,化学药品,合并,化学制药细分方向,10334,10334,1
区块链,区块链,软件与数字安全产业链,区块链,合并,可信数据与数字安全基础技术，并入软件与数字安全,3526,3526,2
医疗器械产业链企查查,医疗器械,医药生物与医疗健康产业链,医疗器械,合并,医疗装备与器械方向,17013,17013,1
医疗数字化,医疗数字化,医药生物与医疗健康产业链,医疗数字化,合并,医疗信息化和数字健康方向,342,342,2
医疗机器人,医疗机器人,医药生物与医疗健康产业链,医疗机器人,跨链合并,技术上属于机器人，应用场景属于医疗；主归医疗健康，保留跨链标记,166244,166244,2
医药生物产业链企查查,医药生物,医药生物与医疗健康产业链,医药生物,主链,医药生物综合口径主链,32413,32413,1
半导体产业链企查查,半导体,半导体与集成电路产业链,半导体,合并,半导体综合口径，并入集成电路主链,8999,8999,1
半导体材料产业链企查查,半导体材料,半导体与集成电路产业链,半导体材料,合并,半导体上游材料细分方向,1619,1619,1
半导体设备产业链企查查,半导体设备,半导体与集成电路产业链,半导体设备,合并,半导体上游设备细分方向,719,719,1
国产软件产业链企查查,国产软件,软件与数字安全产业链,国产软件,合并,基础软件与应用软件方向，并入软件与数字安全,8877,8877,1
基础设施建设产业链企查查,基础设施建设,基础设施与城市建设产业链,基础设施建设,主链,基建综合口径主链,160221,160221,1
大数据产业链企查查,大数据,数据要素与数字经济产业链,大数据,合并,数据采集、治理、分析方向，并入数据要素与数字经济,370029,370029,1
大气治理产业链企查查,大气治理,绿色环保与资源循环产业链,大气治理,合并,环保治理细分方向,1949,1949,1
家用电器产业链企查查,家用电器,智能物联与消费电子产业链,家用电器,合并,智能家电和消费硬件方向，并入消费电子与智能物联,14432,14432,1
工业机器人,工业机器人,机器人产业链,工业机器人,合并,机器人制造业应用细分方向,2582,2582,2
房地产产业链企查查,房地产,基础设施与城市建设产业链,房地产,合并,城市建设与开发运营相关方向,130142,130142,1
数字经济产业链企查查,数字经济,数据要素与数字经济产业链,数字经济,合并,数字经济是上位口径，与数据要素方向合并展示,89604,89604,1
数据创意,数据创意,数据要素与数字经济产业链,数据创意,合并,数据内容与创意应用方向，并入数据要素与数字经济,28797,28797,2
数据服务,数据服务,数据要素与数字经济产业链,数据服务,合并,数据服务供给方向，并入数据要素与数字经济,29951,45021,2
数据要素产业链企查查,数据要素,数据要素与数字经济产业链,数据要素,合并,数据资源化、资产化与流通方向，是数据要素主链,53946,53946,1
数控机床,数控机床,高端装备与智能制造产业链,数控机床,合并,工业母机细分方向，并入高端装备,2907,2907,2
新型显示,新型显示,新型显示与虚拟现实产业链,新型显示,主链,显示技术主链,1174,1174,2
新材料产业链企查查,新材料,新材料产业链,新材料,主链,保留为标准产业链主链,41848,41848,1
显示屏产业链企查查,显示屏,新型显示与虚拟现实产业链,显示屏,合并,显示终端/面板细分方向，并入新型显示,10634,10634,1
智能手机产业链企查查,智能手机,智能物联与消费电子产业链,智能手机,合并,智能终端细分方向，并入消费电子与智能物联,5847,5847,1
智能物联,智能物联,智能物联与消费电子产业链,智能物联,主链,保留为智能物联主链,95412,95412,2
智能视觉,智能视觉,人工智能产业链,智能视觉,合并,AI视觉感知细分方向，并入人工智能,6443,6443,2
智能语音识别,智能语音识别,人工智能产业链,智能语音识别,合并,AI感知与交互细分方向，并入人工智能,5281,6250,2
服务器,服务器,新一代信息基础设施产业链,服务器,合并,算力硬件基础设施细分，并入云网算基础设施,2167,2167,2
机器人,机器人,机器人产业链,机器人综合,主链,机器人综合口径主链,21962,21962,2
机器人产业链企查查,机器人,机器人产业链,机器人补充清单,重复合并,与“机器人”同主题，作为补充清单合并到同一标准链,4306,4306,1
机械设备产业链企查查,机械设备,高端装备与智能制造产业链,机械设备,合并,通用/专用设备方向，并入高端装备,70272,70272,1
污水处理产业链企查查,污水处理,绿色环保与资源循环产业链,污水处理,合并,水环境治理细分方向,12434,12434,1
汽车产业链企查查,汽车,汽车与智能网联汽车产业链,汽车,主链,汽车整车及综合口径主链,63792,63792,1
汽车电子产业链企查查,汽车电子,汽车与智能网联汽车产业链,汽车电子,合并,汽车电子电气和智能化方向,19590,19590,1
汽车轻量化产业链企查查,汽车轻量化,汽车与智能网联汽车产业链,汽车轻量化,合并,汽车材料与结构轻量化方向,19254,19254,1
汽车零部件产业链企查查,汽车零部件,汽车与智能网联汽车产业链,汽车零部件,合并,汽车上游零部件方向,45910,45910,1
消费电子产业链企查查,消费电子,智能物联与消费电子产业链,消费电子,合并,智能终端与消费硬件方向，并入消费电子与智能物联,20053,20053,1
激光,激光,高端装备与智能制造产业链,激光,合并,激光加工与装备方向，并入高端装备,5338,5338,2
物联网产业链企查查,物联网,智能物联与消费电子产业链,物联网,合并,连接、感知与终端协同方向，并入智能物联,38273,38273,1
特高压产业链企查查,特高压,新能源与电力装备产业链,特高压,合并,新能源消纳与电网输配电装备方向,164799,164799,1
环保产业链企查查,环保,绿色环保与资源循环产业链,环保,主链,绿色环保综合口径主链,10040,10040,1
生物药品产业链企查查,生物药品,医药生物与医疗健康产业链,生物药品,合并,生物医药细分方向,5049,5049,1
石油化工产业链企查查,石油化工,石油化工产业链,石油化工,主链,保留为标准产业链主链,113876,113876,1
碳中和产业链企查查,碳中和,绿色环保与资源循环产业链,碳中和,合并,双碳与节能环保方向,42793,42793,1
空天装备,空天装备,空天装备与低空经济产业链,空天装备,主链,空天装备主链,13576,13576,2
纺织产业链企查查,纺织,纺织产业链,纺织,主链,与其他主题差异较大，保留独立标准链,24699,24699,1
网络安全产业链企查查,网络安全,软件与数字安全产业链,网络安全,合并,数字安全方向，与软件生态强相关,2203,2203,1
网络通讯,网络通讯,新一代信息基础设施产业链,网络通信,合并,通信设备与网络服务细分，并入云网算基础设施,20111,20111,2
自动驾驶产业链企查查,自动驾驶,汽车与智能网联汽车产业链,自动驾驶,合并,智能网联汽车核心方向,21981,21981,1
航空航天装备产业链企查查,航空航天装备,空天装备与低空经济产业链,航空航天装备,重复合并,与空天装备高度重叠，合并为同一标准链,27162,27162,1
虚拟现实VR,虚拟现实VR,新型显示与虚拟现实产业链,虚拟现实VR,合并,VR与显示、光学和沉浸式终端高度相关，并入新型显示与虚拟现实,11748,11748,2
资源循环利用产业链企查查,资源循环利用,绿色环保与资源循环产业链,资源循环利用,合并,循环经济细分方向,18495,18495,1
边缘计算,边缘计算,新一代信息基础设施产业链,边缘计算,合并,靠近终端侧的算力基础设施，并入云网算基础设施,7474,7474,2
锂离子电池产业链企查查,锂离子电池,新能源与电力装备产业链,锂离子电池,合并,储能与动力电池细分方向,2633,2633,1
集成电路产业链企查查,集成电路,半导体与集成电路产业链,集成电路,主链,保留为标准产业链主链,23010,23010,1
风电产业链企查查,风电,新能源与电力装备产业链,风电,合并,新能源发电方向,5016,5016,1
食品饮料产业链企查查,食品饮料,食品饮料产业链,食品饮料,主链,与其他主题差异较大，保留独立标准链,91223,91223,1
高端装备制造,高端装备制造,高端装备与智能制造产业链,高端装备制造,主链,高端装备综合口径主链,209227,209227,2
