原始产业标签,候选标准产业链,直接节点,基础分,规则说明
仓储物流,,,0,现有19条标准链不含独立物流产业链，仅在出现具体产业对象时匹配
其他,,,0,原始产业标签为“其他”，需依赖园区名称/简介中的明确产业证据
农林牧渔,食品饮料产业链,node-025,46,农林牧渔与食品饮料上游原料环节相关
化工日化,石油化工产业链,,55,原始产业标签对应化工及下游制品
医疗医药,医药生物与医疗健康产业链,,57,原始产业标签直接对应医药医疗链
国防科技产业,空天装备与低空经济产业链,,35,国防科技宽口径候选
国防科技产业,高端装备与智能制造产业链,,32,国防科技宽口径候选
国防科技产业,半导体与集成电路产业链,,30,国防科技宽口径候选
大消费,,,0,现有19条标准链不含独立大消费/商贸链，需依赖具体产业对象
家电数码,智能物联与消费电子产业链,node-017,52,家电数码对应智能终端与家电环节
建材冶金,基础设施与城市建设产业链,node-007,43,建材与城市建设上游工程材料相关
建材冶金,新材料产业链,,40,冶金与基础/先进材料相关
房地产建筑,基础设施与城市建设产业链,,55,原始产业标签直接对应城市建设链
文化创意,数据要素与数字经济产业链,node-003,48,文化创意对应数字内容与场景应用
机械设备,高端装备与智能制造产业链,,54,原始产业标签直接对应机械设备环节
汽车工业,汽车与智能网联汽车产业链,,58,原始产业标签直接对应汽车链
环保节能,绿色环保与资源循环产业链,,56,原始产业标签直接对应绿色环保链
电子产业,半导体与集成电路产业链,,36,电子产业宽口径候选
电子产业,智能物联与消费电子产业链,,36,电子产业宽口径候选
电子产业,新型显示与虚拟现实产业链,,32,电子产业宽口径候选
电子信息,新一代信息基础设施产业链,,34,电子信息宽口径候选
电子信息,半导体与集成电路产业链,,34,电子信息宽口径候选
电子信息,智能物联与消费电子产业链,,34,电子信息宽口径候选
电子信息,新型显示与虚拟现实产业链,,32,电子信息宽口径候选
电子信息,软件与数字安全产业链,,32,电子信息宽口径候选
电子商务,数据要素与数字经济产业链,node-003,45,电子商务对应数字经济场景应用
科技服务,软件与数字安全产业链,node-057,38,科技服务可能对应政企数字化与软件服务，需复核
纺织服装,纺织产业链,,56,原始产业标签直接对应纺织链
能源电力,新能源与电力装备产业链,,54,原始产业标签对应能源与电力装备
航空航天,空天装备与低空经济产业链,,58,原始产业标签直接对应空天链
装备制造,高端装备与智能制造产业链,,56,原始产业标签直接对应装备制造链
轻工业,,,0,轻工业口径过宽，需依赖食品、纺织、家电等具体产业证据
金融保险,,,0,现有19条标准链不含独立金融保险链，需依赖数字金融等具体证据
食品饮料,食品饮料产业链,,58,原始产业标签直接对应食品饮料链
高新技术,,,0,高新技术是园区属性而非具体产业链，需依赖名称/简介证据
